,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,16,0,32,40,8,32,16,0,16,0,0,0,12,0,0,4,8,0,16,20,4,16,8,0,8,0,0,0,8,0,0,0,8,0,12,16,0,12,4,0,4,0,0,0,8,0,4,4,8,0,20,28,4,4,12,4,0,0,0,0,8,0,0,0,8,0,12,16,0,12,4,0,4,0,0,0,4,0,0,4,0,0,4,4,4,4,4,0,4,0,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,0,8,0,4,8,4,0,16,20,8,8,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,8,8,8,8,0,8,0,0,0,4,0,4,4,4,0,8,8,4,16,4,4,4,0,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,0,8,0,12,16,4,0,20,20,16,28,16,12,8,0,0,0,4,0,0,0,4,0,4,4,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,0,24,24,24,24,16,16,0,0,0,0,8,0,8,8,8,0,12,12,12,12,8,8,0,0,0,0,4,0,4,0,8,0,8,8,8,12,4,8,0,0,0,0,16,0,8,0,0,0,8,12,8,12,12,16,4,0,0,0,4,0,4,0,8,0,8,8,8,12,4,8,0,0,0,0,4,0,4,8,0,0,4,4,4,0,4,0,0,0,0,0,8,0,0,0,0,0,0,4,0,12,4,0,4,0,0,0,16,0,8,8,0,0,8,12,8,12,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,16,0,0,8,8,8,0,8,0,0,0,0,0,8,0,0,0,8,0,4,8,4,24,4,0,4,0,0,0,8,0,0,0,0,0,0,4,0,12,4,0,4,0,0,0,28,0,4,8,8,0,8,20,8,48,16,0,12,0,0,0,0,0,0,0,8,0,4,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,8,8,32,16,8,8,24,8,8,0,8,8,8,0,24,0,4,4,16,8,4,4,12,4,4,0,4,4,4,0,20,0,0,4,12,4,4,4,8,4,0,0,0,4,0,0,12,8,0,8,20,4,12,8,8,12,4,0,0,0,0,0,20,0,0,4,12,4,4,4,8,4,0,0,0,4,0,0,4,0,4,0,4,4,0,0,4,0,4,0,4,0,4,0,4,8,0,0,4,4,4,0,0,4,4,0,0,0,0,0,12,8,4,4,16,8,8,4,8,8,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,8,0,0,8,0,8,0,8,0,8,0,20,8,0,0,8,8,4,0,4,4,4,0,0,4,0,0,4,8,0,0,4,4,4,0,0,4,4,0,0,0,0,0,32,24,4,0,20,20,12,0,8,12,16,0,4,4,4,0,16,0,0,0,4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,8,0,8,24,8,8,32,24,8,0,0,0,0,0,16,20,4,0,4,12,4,4,16,12,4,0,0,0,0,0,12,20,0,0,0,8,4,4,12,4,0,0,0,0,12,0,12,24,8,0,4,8,12,8,8,0,0,0,0,0,0,0,12,20,0,0,0,8,4,4,12,4,0,0,0,0,0,0,4,0,4,0,4,4,0,0,4,8,4,0,0,0,12,0,4,0,8,0,4,0,4,0,0,0,0,0,0,0,12,0,12,12,12,0,8,8,8,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,8,0,0,8,16,8,0,0,0,12,0,12,8,8,0,4,4,4,0,8,4,0,0,0,0,12,0,4,0,8,0,4,0,4,0,0,0,0,0,0,0,36,0,24,8,28,0,16,8,12,0,12,12,4,0,0,0,0,0,8,8,0,0,0,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,24,8,8,8,16,8,0,8,8,0,48,0,0,16,4,16,12,4,4,4,8,4,0,4,4,0,24,0,0,8,4,8,8,0,0,4,4,4,0,4,4,0,16,0,0,8,12,0,8,0,0,12,0,8,0,4,4,0,24,4,8,12,4,8,8,0,0,4,4,4,0,4,4,0,16,0,0,8,0,8,4,4,4,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,0,4,8,4,8,8,8,4,4,8,4,4,0,4,4,0,20,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,8,8,0,8,0,0,0,0,0,16,0,0,0,4,8,4,0,0,4,4,0,0,8,8,0,4,4,8,8,4,0,0,0,0,4,0,0,0,4,4,0,0,4,8,4,12,16,8,4,4,12,8,0,0,16,16,0,12,12,24,16,0,8,4,0,0,0,4,0,0,4,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,16,8,24,8,24,8,8,8,16,8,0,24,0,8,4,8,8,4,12,4,12,4,4,4,8,4,0,12,0,8,4,4,0,4,8,4,8,4,4,4,4,0,0,8,0,0,0,8,8,8,8,8,20,4,4,8,0,0,0,20,0,8,4,4,0,4,8,4,8,4,4,4,4,0,0,8,0,0,0,4,8,0,4,0,4,0,0,0,4,4,0,4,0,0,0,0,8,0,0,0,4,4,4,0,0,0,0,12,0,0,0,8,16,4,8,4,16,4,4,4,4,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,8,0,8,0,0,0,8,8,0,8,0,8,4,0,8,0,4,0,4,8,8,0,4,0,0,16,0,0,0,0,8,0,0,0,4,4,4,0,0,0,0,12,0,8,4,4,32,0,8,0,16,16,16,0,8,4,0,44,0,8,4,0,0,0,4,0,0,4,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,16,24,16,8,8,24,8,8,8,16,16,4,4,12,0,0,8,12,8,4,4,12,4,4,4,8,8,4,4,8,0,0,8,8,0,4,0,8,0,4,4,8,4,0,12,24,8,0,8,4,0,0,4,12,0,8,0,8,8,4,4,8,0,0,8,8,0,4,0,8,0,4,4,8,4,0,0,4,0,0,0,4,8,0,4,4,4,0,0,0,4,0,4,8,8,0,0,4,0,0,4,4,0,0,0,0,0,0,8,20,8,0,4,8,8,0,8,12,4,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,16,0,8,8,8,0,0,0,8,4,4,8,8,0,4,12,0,4,4,8,0,0,4,4,0,0,4,8,8,0,0,4,0,0,4,4,0,0,0,0,0,4,12,28,24,0,4,24,8,4,16,20,4,0,4,4,4,4,0,0,0,0,4,8,0,4,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,24,24,16,0,16,0,24,24,0,0,16,0,0,0,24,0,12,12,8,0,8,0,12,12,0,0,8,0,0,0,20,0,4,12,4,0,0,0,8,8,0,0,8,0,0,0,8,0,12,12,8,0,4,4,12,20,4,4,8,0,0,0,20,0,4,12,4,0,0,0,8,8,0,0,8,0,0,0,4,0,8,0,4,0,8,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,0,8,0,16,8,8,0,12,4,12,16,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,8,0,16,0,8,8,0,0,0,0,0,0,16,0,4,12,0,0,4,4,8,4,4,4,4,0,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,0,20,0,20,20,4,0,20,12,20,16,12,12,4,0,0,0,16,0,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,16,16,0,8,8,32,0,24,0,8,48,4,4,4,0,4,8,8,0,4,4,16,0,12,0,4,24,0,4,0,0,4,8,8,0,0,0,8,0,12,0,4,16,16,8,4,0,0,8,20,0,0,0,8,0,16,0,8,8,0,4,0,0,4,8,8,0,0,0,8,0,12,0,4,16,4,0,4,0,0,0,0,0,4,4,8,0,0,0,0,8,16,0,4,0,0,0,4,0,0,0,0,0,8,0,0,0,20,4,8,0,0,4,12,0,4,4,12,0,12,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,8,8,16,0,0,0,0,16,16,0,4,0,4,4,4,0,0,0,4,0,16,0,0,12,16,0,4,0,0,0,4,0,0,0,0,0,8,0,0,0,52,0,16,0,4,4,12,0,4,4,12,0,32,0,0,20,0,0,0,0,4,4,0,0,0,0,4,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,8,8,24,8,0,24,8,16,0,16,0,8,40,0,8,8,4,4,12,4,0,12,4,8,0,8,0,4,20,0,8,4,0,4,8,0,0,8,4,4,0,4,0,4,16,0,16,12,0,0,20,8,0,8,12,4,0,0,0,8,8,0,8,4,0,4,8,0,0,8,4,4,0,4,0,4,16,0,0,4,4,0,4,4,0,4,0,4,0,4,0,0,4,0,8,4,0,0,4,8,0,0,4,4,0,0,0,0,0,0,12,12,4,0,16,12,0,8,8,8,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,8,0,8,0,8,0,0,8,0,12,4,0,4,4,8,0,4,4,8,0,4,0,0,12,0,8,4,0,0,4,8,0,0,4,4,0,0,0,0,0,0,28,16,4,4,16,28,0,8,12,20,0,8,0,0,16,0,4,0,0,4,0,0,0,4,0,4,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,40,8,8,16,0,8,24,0,24,0,8,8,24,4,8,0,20,4,4,8,0,4,12,0,12,0,4,4,12,0,4,0,16,4,0,8,0,4,0,0,12,0,0,4,12,0,8,0,8,8,0,8,0,8,0,4,8,12,4,0,28,0,4,0,16,4,0,8,0,4,0,0,12,0,0,4,12,4,4,0,4,0,4,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,4,0,12,4,8,0,8,4,4,4,0,4,12,4,4,12,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,8,0,0,0,24,0,0,0,8,0,0,0,0,0,12,0,0,4,0,0,0,4,8,12,4,4,16,0,0,0,0,0,0,0,0,0,0,4,0,12,4,0,12,4,4,0,16,0,4,4,0,0,12,12,8,36,16,4,40,0,0,0,12,0,0,4,0,0,0,0,8,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,16,16,0,0,16,24,16,16,16,40,0,0,0,0,16,0,8,8,0,0,8,12,8,8,8,20,0,0,0,0,12,0,8,4,0,0,8,8,0,4,8,12,0,0,0,0,8,0,4,12,0,0,12,16,0,12,12,16,4,0,0,0,12,0,8,4,0,0,8,8,0,4,8,12,0,0,0,0,4,0,0,4,0,0,0,4,8,4,0,8,0,0,0,0,0,0,4,4,0,0,4,0,0,4,4,8,4,0,0,0,8,0,4,12,0,0,8,12,8,12,8,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,8,16,8,0,16,0,0,0,0,8,0,12,4,0,0,8,0,0,4,8,16,4,0,0,0,0,0,4,4,0,0,4,0,0,4,4,8,4,0,0,0,12,0,20,16,0,0,16,4,8,16,16,40,12,0,0,0,8,0,8,0,0,0,4,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,16,8,16,16,8,16,0,24,16,8,0,8,0,8,12,12,8,4,8,8,4,8,0,12,8,4,0,4,0,4,12,8,8,4,4,0,0,4,0,12,4,4,0,0,0,4,16,8,0,20,8,8,0,12,0,8,0,16,0,0,0,0,12,8,8,4,4,0,0,4,0,12,4,4,0,0,0,4,0,4,0,0,4,8,4,4,0,0,4,0,0,4,0,0,0,0,0,12,0,8,0,4,0,0,0,8,0,0,0,0,8,8,0,16,8,16,4,12,0,4,4,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,16,8,8,0,0,8,0,0,8,0,0,4,4,8,12,0,8,0,4,0,8,4,8,0,0,0,4,0,0,0,12,0,8,0,4,0,0,0,8,0,0,0,0,4,8,8,36,4,32,4,16,0,8,8,24,0,4,0,4,4,4,8,0,0,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,24,24,16,8,0,24,24,8,0,0,16,0,24,0,4,8,12,12,8,4,0,12,12,4,0,0,8,0,12,0,0,8,8,12,4,0,0,4,12,4,0,0,4,0,8,0,4,8,20,16,4,4,0,8,8,4,0,0,8,0,12,0,0,8,8,12,4,0,0,4,12,4,0,0,4,0,8,0,4,0,4,0,4,4,0,8,0,0,0,0,4,0,4,0,4,8,4,0,4,4,0,0,0,4,0,0,0,0,4,0,8,8,16,8,8,8,0,12,4,4,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,8,0,16,0,0,0,0,8,0,8,0,4,16,4,4,8,4,0,0,8,8,0,0,0,0,8,0,4,8,4,0,4,4,0,0,0,4,0,0,0,0,4,0,16,32,16,4,20,16,0,8,8,16,0,0,4,0,20,0,0,8,0,4,4,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,16,8,24,8,8,0,24,8,8,8,24,32,8,4,0,4,8,4,12,4,4,0,12,4,4,4,12,16,4,0,0,4,4,0,12,4,0,0,12,4,4,0,12,8,0,0,0,8,0,4,8,4,0,8,20,8,0,0,16,8,12,0,0,4,4,0,12,4,0,0,12,4,4,0,12,8,0,4,0,0,4,4,0,0,4,0,0,0,0,4,0,8,4,0,0,0,0,4,0,4,0,8,4,0,0,0,0,0,12,4,0,4,4,8,4,4,4,8,12,4,0,4,8,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8,0,0,8,0,0,0,0,8,0,16,8,0,0,0,4,4,8,8,0,8,8,0,4,0,4,4,12,0,0,0,0,4,0,4,0,8,4,0,0,0,0,0,12,4,0,0,8,16,8,16,4,24,16,0,4,4,4,12,40,0,0,0,4,0,8,4,0,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,4,28,0,12,12,24,8,12,16,12,0,0,0,0,0,0,6,18,0,12,6,18,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,12,18,30,16,12,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,14,10,24,4,14,16,14,0,0,0,0,0,0,6,34,0,16,14,30,8,16,20,16,0,0,0,0,0,0,2,14,0,6,6,12,4,6,8,6,0,0,0,0,0,0,0,8,0,2,4,6,4,2,4,2,0,0,0,0,0,0,0,8,0,2,4,6,4,2,4,2,0,0,0,0,0,0,0,8,0,2,4,6,4,2,4,2,0,0,0,0,0,0,4,28,0,12,12,24,8,12,16,12,0,0,0,0,0,0,2,14,0,6,6,12,4,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,12,16,4,8,12,8,16,12,8,0,12,12,0,8,0,0,6,12,6,6,6,6,6,0,12,0,12,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,2,10,18,10,26,24,4,0,12,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,6,8,10,8,12,6,12,0,14,18,0,8,0,0,14,20,6,10,14,10,18,12,12,0,16,18,0,10,0,0,6,8,2,4,6,4,8,6,4,0,6,6,0,4,0,0,4,4,0,2,4,2,6,6,0,0,2,0,0,2,0,0,4,4,0,2,4,2,6,6,0,0,2,0,0,2,0,0,4,4,0,2,4,2,6,6,0,0,2,0,0,2,0,0,12,16,4,8,12,8,16,12,8,0,12,12,0,8,0,0,6,8,2,4,6,4,8,6,4,0,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,0,16,8,4,12,12,8,12,12,8,4,12,12,0,8,0,0,6,6,0,6,12,6,12,12,0,6,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,8,18,12,10,12,12,16,2,6,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,2,10,14,8,14,14,4,6,18,14,0,4,0,0,18,10,4,14,16,10,16,16,8,6,18,16,0,8,0,0,8,4,2,6,6,4,6,6,4,2,6,6,0,4,0,0,6,2,2,4,2,2,2,2,4,0,0,2,0,4,0,0,6,2,2,4,2,2,2,2,4,0,0,2,0,4,0,0,6,2,2,4,2,2,2,2,4,0,0,2,0,4,0,0,16,8,4,12,12,8,12,12,8,4,12,12,0,8,0,0,8,4,2,6,6,4,6,6,4,2,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,4,8,8,12,4,0,8,12,4,0,12,16,8,12,8,12,0,6,6,6,0,0,12,18,6,0,12,12,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,18,8,0,4,6,2,0,12,20,10,18,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,10,2,0,12,18,6,0,14,16,8,10,8,6,4,10,10,14,4,0,12,18,6,0,16,20,10,14,10,12,2,4,4,6,2,0,4,6,2,0,6,8,4,6,4,6,2,2,2,4,2,0,0,0,0,0,2,4,2,4,2,6,2,2,2,4,2,0,0,0,0,0,2,4,2,4,2,6,2,2,2,4,2,0,0,0,0,0,2,4,2,4,2,6,4,8,8,12,4,0,8,12,4,0,12,16,8,12,8,12,2,4,4,6,2,0,4,6,2,0,6,8,4,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,16,16,0,20,0,8,4,16,4,4,8,8,16,8,0,0,6,12,0,18,0,0,0,18,0,6,6,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,22,0,16,8,14,8,2,10,10,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,22,0,4,2,20,2,6,8,8,16,12,0,0,18,20,0,26,0,8,4,22,4,6,10,10,20,12,0,0,8,8,0,10,0,4,2,8,2,2,4,4,8,4,0,0,6,4,0,4,0,4,2,2,2,0,2,2,4,0,0,0,6,4,0,4,0,4,2,2,2,0,2,2,4,0,0,0,6,4,0,4,0,4,2,2,2,0,2,2,4,0,0,0,16,16,0,20,0,8,4,16,4,4,8,8,16,8,0,0,8,8,0,10,0,4,2,8,2,2,4,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,0,8,12,8,4,4,8,20,12,4,0,20,0,8,12,8,0,6,12,6,6,6,6,18,12,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,10,2,2,10,22,12,8,0,40,0,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,8,6,6,8,22,14,2,0,10,0,8,14,8,0,10,16,10,6,6,10,26,16,4,0,20,0,10,16,10,0,4,6,4,2,2,4,10,6,2,0,10,0,4,6,4,0,2,2,2,0,0,2,4,2,2,0,10,0,2,2,2,0,2,2,2,0,0,2,4,2,2,0,10,0,2,2,2,0,2,2,2,0,0,2,4,2,2,0,10,0,2,2,2,0,8,12,8,4,4,8,20,12,4,0,20,0,8,12,8,0,4,6,4,2,2,4,10,6,2,0,10,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0,16,20,16,0,4,4,12,20,4,0,4,0,12,4,12,0,12,24,6,0,6,6,6,12,0,0,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,26,0,2,2,18,28,8,0,2,0,18,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,12,0,6,6,10,18,2,0,6,0,10,6,10,0,20,28,18,0,6,6,14,24,4,0,6,0,14,6,14,0,8,10,8,0,2,2,6,10,2,0,2,0,6,2,6,0,4,2,6,0,0,0,4,6,2,0,0,0,4,0,4,0,4,2,6,0,0,0,4,6,2,0,0,0,4,0,4,0,4,2,6,0,0,0,4,6,2,0,0,0,4,0,4,0,16,20,16,0,4,4,12,20,4,0,4,0,12,4,12,0,8,10,8,0,2,2,6,10,2,0,2,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,8,8,12,0,20,12,0,4,8,8,8,12,12,12,4,0,0,6,6,0,12,6,0,6,6,12,6,12,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,18,0,28,18,0,2,10,4,10,12,12,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,0,18,10,0,6,8,12,8,14,14,10,6,0,8,10,14,0,24,14,0,6,10,12,10,16,16,14,6,0,4,4,6,0,10,6,0,2,4,4,4,6,6,6,2,0,4,2,4,0,6,4,0,0,2,0,2,2,2,4,0,0,4,2,4,0,6,4,0,0,2,0,2,2,2,4,0,0,4,2,4,0,6,4,0,0,2,0,2,2,2,4,0,0,8,8,12,0,20,12,0,4,8,8,8,12,12,12,4,0,4,4,6,0,10,6,0,2,4,4,4,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,0,12,12,0,16,8,4,4,4,8,12,16,12,12,4,4,0,12,0,0,24,6,6,0,0,6,12,6,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,8,10,2,8,8,10,12,26,18,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,24,8,6,2,2,8,14,12,10,18,2,2,0,16,12,0,24,10,6,4,4,10,16,18,14,18,4,4,0,6,6,0,8,4,2,2,2,4,6,8,6,6,2,2,0,2,6,0,0,2,0,2,2,2,2,6,4,0,2,2,0,2,6,0,0,2,0,2,2,2,2,6,4,0,2,2,0,2,6,0,0,2,0,2,2,2,2,6,4,0,2,2,0,12,12,0,16,8,4,4,4,8,12,16,12,12,4,4,0,6,6,0,8,4,2,2,2,4,6,8,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,4,12,4,8,0,16,8,12,20,8,0,8,4,16,8,0,0,6,0,12,0,6,6,18,12,12,0,6,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,8,4,0,26,10,6,28,4,0,10,8,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,12,0,12,8,18,18,12,0,8,2,16,8,0,4,14,4,12,0,18,10,18,24,12,0,10,4,20,10,0,2,6,2,4,0,8,4,6,10,4,0,4,2,8,4,0,2,4,2,0,0,6,2,0,6,0,0,2,2,4,2,0,2,4,2,0,0,6,2,0,6,0,0,2,2,4,2,0,2,4,2,0,0,6,2,0,6,0,0,2,2,4,2,0,4,12,4,8,0,16,8,12,20,8,0,8,4,16,8,0,2,6,2,4,0,8,4,6,10,4,0,4,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
